,compound,create_date,negative,neutral,news_media,positive,tweets_ago
70,-0.8885,2017-12-02 02:40:06+00:00,0.404,0.596,CNN,0.0,-70
71,0.0,2017-12-02 02:30:06+00:00,0.0,1.0,CNN,0.0,-71
72,-0.6249,2017-12-02 02:20:01+00:00,0.313,0.687,CNN,0.0,-72
73,0.0,2017-12-02 02:10:04+00:00,0.0,1.0,CNN,0.0,-73
74,0.0,2017-12-02 02:00:27+00:00,0.0,1.0,CNN,0.0,-74
75,0.4019,2017-12-02 01:50:04+00:00,0.0,0.816,CNN,0.184,-75
76,0.0,2017-12-02 01:40:03+00:00,0.0,1.0,CNN,0.0,-76
77,0.0,2017-12-02 01:30:07+00:00,0.0,1.0,CNN,0.0,-77
78,0.4019,2017-12-02 01:22:50+00:00,0.0,0.856,CNN,0.144,-78
79,-0.4215,2017-12-02 01:20:10+00:00,0.219,0.781,CNN,0.0,-79
80,0.0,2017-12-02 01:10:11+00:00,0.0,1.0,CNN,0.0,-80
81,0.0,2017-12-02 01:00:02+00:00,0.0,1.0,CNN,0.0,-81
82,0.5859,2017-12-02 00:50:04+00:00,0.094,0.656,CNN,0.25,-82
83,0.0,2017-12-02 00:40:09+00:00,0.0,1.0,CNN,0.0,-83
84,0.0,2017-12-02 00:30:15+00:00,0.0,1.0,CNN,0.0,-84
85,0.0,2017-12-02 00:20:09+00:00,0.0,1.0,CNN,0.0,-85
86,0.0,2017-12-02 00:10:04+00:00,0.0,1.0,CNN,0.0,-86
87,0.4939,2017-12-02 00:03:53+00:00,0.0,0.814,CNN,0.186,-87
88,0.7574,2017-12-02 00:02:03+00:00,0.0,0.706,CNN,0.294,-88
89,-0.6908,2017-12-01 23:50:05+00:00,0.251,0.749,CNN,0.0,-89
90,0.0258,2017-12-01 23:40:05+00:00,0.142,0.66,CNN,0.198,-90
91,0.0,2017-12-01 23:30:03+00:00,0.0,1.0,CNN,0.0,-91
92,0.4939,2017-12-01 23:20:06+00:00,0.0,0.775,CNN,0.225,-92
